date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Year,Quarter_Number,Month_Number,gdp_per_capita,seasonally_adjusted_INDPRO,seasonally_adjusted_CPI,seasonally_adjusted_unemployment_rate,anomaly_INDPRO,anomaly_CPI,anomaly_unemployment_rate,anomaly_PPI,anomaly_share_price,anomaly_1_year_rate,anomaly_3_months_rate,anomaly_6_months_rate,anomaly_10_year_rate,CPI_trend,INDPRO_trend,unemployment_rate_trend,PPI_trend,seasonally_adjusted_PPI
1968-12-01,0.06,0.04,0.02,0.08,5.972857142857142,5.956190476190476,6.055714285714286,35.6,37.9573,6.03,1.9818353569590397,3.4,28.0,101.372923392385,91.7,1968,4,12,26045.666666666668,37.846069953653355,35.57757843044992,3.392848906921676,0,0,0,0,0,0,0,0,0,35.6122873506267,37.88266594859299,3.4793788619199253,28.135020888431576,28.119114991230514
1969-01-01,0.04,0.0,0.18,0.14,6.069090909090909,6.140000000000001,6.282272727272727,35.7,38.1869,6.04,1.9300399470485872,3.4,28.0,101.31872133176,98.2,1969,1,1,26162.0,38.05602458014609,35.69678870036631,3.4675819980091998,0,0,0,0,0,0,0,0,0,35.771397634869224,38.01906677273116,3.4702124893958284,28.21989741527103,28.14196484323481
1969-02-01,0.0,0.02,0.1,0.28,6.214210526315789,6.121052631578947,6.299473684210526,35.8,38.4313,6.19,1.919778676302208,3.4,28.2,101.198714845094,98.2,1969,1,2,26168.333333333332,38.187704653982074,35.76812627112137,3.4477594947639885,0,0,0,0,0,0,0,0,0,35.93247676508846,38.148522221956775,3.4659959058872083,28.309419187235747,28.286821195636524
1969-03-01,0.02,0.18,0.08,4.14,6.1975,6.0165,6.164,36.1,38.7326,6.3,1.884444973193926,3.4,28.2,101.02268363425,98.2,1969,1,3,26174.666666666668,38.52933844964654,36.09202829695565,3.4278594678203325,0,0,0,0,0,0,0,0,0,36.09570728732242,38.25999884970893,3.4685242278104242,28.40492375980775,28.379449395352218
1969-04-01,0.18,0.1,0.14,6.96,6.0390476190476186,6.1138095238095245,6.13,36.3,38.5901,6.17,1.9042871288776533,3.4,28.6,100.792073041778,98.2,1969,2,4,26181.0,38.42877247998876,36.29204756889137,3.444831396872181,0,0,0,0,0,0,0,0,0,36.261695728977415,38.2857991188097,3.4842741831089463,28.50637906937192,28.678441362370535
1969-05-01,0.1,0.08,0.28,36.56,6.1138095238095245,6.042380952380952,6.153809523809524,36.4,38.4443,6.32,1.9443845173281031,3.4,28.6,100.512227364257,91.5,1969,2,5,26214.333333333332,38.394485328984224,36.441028396071964,3.440523499007371,0,0,0,0,0,0,0,0,0,36.431094630406214,38.212732889931466,3.524603969918243,28.61220014050004,28.409940561312887
1969-06-01,0.08,0.14,4.14,40.22,6.880476190476191,6.439047619047619,6.752857142857143,36.6,38.8198,6.57,1.8736479526294871,3.5,28.6,100.228576027395,91.5,1969,2,6,26247.666666666668,38.95910142170228,36.58666349190834,3.466386848113783,0,0,0,0,0,0,0,0,0,36.60433527446424,38.131701699708174,3.5901563341555214,28.720299350093097,28.460434743471946
1969-07-01,0.14,0.28,6.96,50.0,7.187142857142858,7.00047619047619,7.244761904761904,36.8,39.0248,6.72,1.8108067502666605,3.5,28.9,99.97712316321171,91.5,1969,3,7,26281.0,39.27842170124731,36.78304854457587,3.475415289463634,0,0,0,0,0,0,0,0,0,36.78130373528475,38.080685525489564,3.6685285798827025,28.82980962574531,28.732798721281068
1969-08-01,0.28,4.14,36.56,39.6,7.275238095238096,6.9819047619047625,7.193809523809524,36.9,39.1145,6.69,1.8037182194127168,3.5,28.9,99.76734275091673,86.4,1969,3,8,26212.666666666668,39.19773618973432,36.92731487482144,3.4937154416065206,0,0,0,0,0,0,0,0,0,36.96130566327678,38.04992817817163,3.751391035728279,28.942233325014517,28.808231209985017
1969-09-01,4.14,6.96,40.22,40.06,7.351904761904761,7.089999999999999,7.318095238095238,37.1,39.1057,7.16,1.8099732158110036,3.7,29.1,99.57605701679672,86.4,1969,3,9,26144.333333333332,39.40015534679674,37.12850360680016,3.7340674292410863,0,0,0,0,0,0,0,0,0,37.143110342713086,38.02600422642674,3.835619937938337,29.05984754452746,29.03135509479755
1969-10-01,6.96,36.56,50.0,42.32,7.206818181818182,6.998636363636364,7.286363636363637,37.3,39.1171,7.1,1.8305656268689128,3.7,29.5,99.3680973878311,86.4,1969,4,10,26076.0,39.40155249047369,37.30807986720019,3.5518863300861243,0,0,0,0,0,0,0,0,0,37.32500116712122,37.99929399292805,3.9205641956900847,29.18459238145451,29.43456713184959
1969-11-01,36.56,40.22,39.6,39.4,7.356470588235294,7.241176470588235,7.621176470588235,37.5,38.7484,7.14,1.8436780646216135,3.5,29.4,99.1237662052853,79.7,1969,4,11,26041.666666666668,38.53352860434971,37.49561758032488,3.4547543399015637,0,0,0,0,0,0,0,0,0,37.5056244146759,37.96183353963752,4.0080050197420025,29.317153970561755,29.46916295454624
1969-12-01,40.22,50.0,40.06,37.62,7.614545454545455,7.8172727272727265,7.895909090909091,37.7,38.6444,7.65,1.7753030312891296,3.5,29.4,98.8389754002542,79.7,1969,4,12,26007.333333333332,38.70764561927509,37.67144552696979,3.491523381374658,0,0,0,0,0,0,0,0,0,37.6843898193874,37.906728906507155,4.101061388931333,29.456452957673843,29.583972503533705
1970-01-01,50.0,39.6,42.32,38.38,7.513333333333334,7.868095238095238,7.776666666666666,37.9,37.9288,7.79,1.766818465641368,3.9,29.4,98.52233904583592,78.1,1970,1,1,25973.0,37.807402653880665,37.88468382421928,3.9971747431618634,0,0,0,0,0,0,0,0,0,37.86170612081441,37.83425809037106,4.202063166371852,29.600023071149348,29.47904383793609
1970-02-01,39.6,40.06,39.4,56.12,7.0505555555555555,7.127777777777778,7.215,38.1,37.9038,7.24,1.7243098279400415,4.2,29.4,98.2087014845852,78.1,1970,1,2,25958.333333333332,37.68446179663922,38.101785948433424,4.284799821447293,0,0,0,0,0,0,0,0,0,38.03840614020521,37.76427803877302,4.313016922334755,29.74465530029428,29.531188164842657
1970-03-01,40.06,42.32,37.62,75.94,6.5042857142857144,6.626190476190477,6.579047619047619,38.3,37.8546,7.07,1.741335082335524,4.4,29.4,97.9285557199139,78.1,1970,1,3,25943.666666666668,37.61276061259192,38.299004615149876,4.4284109979586,0,0,0,0,0,0,0,0,0,38.21471826400496,37.72339105294911,4.434610245608599,29.88697953993248,29.659551180204666
1970-04-01,42.32,39.4,38.38,86.34,6.526363636363637,6.512727272727273,6.6031818181818185,38.5,37.7573,7.39,1.693315550353125,4.6,29.7,97.7083824996513,78.1,1970,2,4,25929.0,37.575216606887324,38.49563748302185,4.612185729153146,0,0,0,0,0,0,0,0,0,38.389822115633955,37.70409777567718,4.564075809724692,30.023839267441776,29.80619929238007
1970-05-01,39.4,37.62,56.12,32.38,7.119523809523809,6.838095238095238,7.02,38.6,37.7133,7.91,1.537364901966408,4.8,30.6,97.577528833252,75.4,1970,2,5,25979.0,37.66577360673869,38.61856579366673,4.81436020442564,0,0,0,0,0,0,0,0,0,38.56196467065806,37.686268992701706,4.697859537683121,30.155489249728973,30.335476103117955
1970-06-01,37.62,38.38,75.94,0.0,7.068181818181818,6.676363636363636,6.8568181818181815,38.8,37.5913,7.84,1.5269548413273586,4.9,30.7,97.5275333197072,75.4,1970,2,6,26029.0,37.66525159827485,38.776655200558324,4.878052749468121,0,0,0,0,0,0,0,0,0,38.72944484111466,37.66697575821128,4.833125436225799,30.284767499705417,30.522451781007614
1970-07-01,38.38,56.12,86.34,0.1,6.619999999999999,6.45,6.512272727272728,38.9,37.6836,7.46,1.5232671580684587,5.0,30.8,97.5288677415917,75.4,1970,3,7,26079.0,37.8232769149811,38.88819973766486,4.969095668662633,0,0,0,0,0,0,0,0,0,38.891203378355286,37.648126475980085,4.960381721981733,30.415803971740388,30.598855624160443
1970-08-01,56.12,75.94,32.38,1.38,6.548571428571429,6.410952380952381,6.554285714285713,39.0,37.6164,7.53,1.5550308336170666,5.1,30.8,97.5727039118688,77.6,1970,3,8,25956.0,37.689195152188795,39.035575477047566,5.0614920951217,0,0,0,0,0,0,0,0,0,39.047229767982884,37.63602234963394,5.066568927041883,30.553861961044994,30.696010010382476
1970-09-01,75.94,86.34,0.0,0.36,6.39047619047619,6.124761904761905,6.4609523809523814,39.2,37.3571,7.39,1.6313457221633842,5.4,30.8,97.67742761361478,77.6,1970,3,9,25833.0,37.65745210919138,39.223453143535146,5.415802808930943,0,0,0,0,0,0,0,0,0,39.198226104823036,37.64217424809359,5.155941787612754,30.702477308636297,30.752920467630368
